"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"07.02.2020","64,1100","63,3488","64,2214","63,2394","1,20%"
"06.02.2020","63,3488","62,8877","63,4172","62,7255","0,73%"
"05.02.2020","62,8877","63,1093","63,2797","62,5671","-0,35%"
"04.02.2020","63,1093","63,7150","63,7250","62,8513","-0,95%"
"03.02.2020","63,7150","63,9203","64,0934","63,4934","-0,32%"
"31.01.2020","63,9203","63,2759","63,9414","63,0663","1,02%"
"30.01.2020","63,2759","62,5451","63,5062","62,5400","1,17%"
"29.01.2020","62,5451","62,2825","62,8159","62,2825","0,42%"
"28.01.2020","62,2825","62,9797","63,1305","62,2817","-1,11%"
"27.01.2020","62,9797","62,0857","63,0959","62,0700","1,44%"
"24.01.2020","62,0857","61,9020","62,2722","61,7285","0,30%"
"23.01.2020","61,9020","61,8397","62,0861","61,8366","0,10%"
"22.01.2020","61,8397","61,8802","62,0586","61,7808","-0,07%"
"21.01.2020","61,8802","61,5553","61,9664","61,5475","0,53%"
"20.01.2020","61,5553","61,5573","61,6422","61,3889","-0,00%"
"17.01.2020","61,5573","61,6574","61,6745","61,3025","-0,16%"
"16.01.2020","61,6574","61,4315","61,7542","61,3912","0,37%"
"15.01.2020","61,4315","61,4394","61,6848","61,3489","-0,01%"
"14.01.2020","61,4394","61,2727","61,5208","61,2363","0,27%"
"13.01.2020","61,2727","61,0548","61,3798","60,8919","0,36%"
"10.01.2020","61,0548","61,2830","61,3778","60,8865","-0,37%"
"09.01.2020","61,2830","61,2437","61,3925","61,1412","0,06%"
"08.01.2020","61,2437","61,8227","61,9875","61,0893","-0,94%"
"06.01.2020","61,8227","62,0922","62,3357","61,7532","-0,43%"
"03.01.2020","62,0922","61,9863","62,2218","61,8172","0,17%"
"30.12.2019","61,9863","62,0332","62,0662","61,6533","-0,08%"
"27.12.2019","62,0332","62,2138","62,2138","61,8039","-0,29%"
"26.12.2019","62,2138","61,8489","62,2495","61,6778","0,59%"
"25.12.2019","61,8489","61,9669","61,9675","61,5403","-0,19%"
"24.12.2019","61,9669","62,2680","62,2722","61,9055","-0,48%"
"23.12.2019","62,2680","62,2634","62,3541","62,1411","0,01%"
"20.12.2019","62,2634","62,4133","62,4660","62,0157","-0,24%"
"19.12.2019","62,4133","62,6610","62,6650","62,3051","-0,40%"
"18.12.2019","62,6610","62,4038","62,7145","62,4038","0,41%"
"17.12.2019","62,4038","62,4428","62,7320","62,3606","-0,06%"
"16.12.2019","62,4428","62,8650","62,8650","62,3818","-0,67%"
"13.12.2019","62,8624","62,8402","62,9386","62,1662","0,04%"
"12.12.2019","62,8402","63,2695","63,2908","62,6998","-0,68%"
"11.12.2019","63,2695","63,5011","63,6103","63,2680","-0,36%"
"10.12.2019","63,5011","63,5847","63,6574","63,4610","-0,13%"
"09.12.2019","63,5847","63,7533","63,8005","63,5492","-0,26%"
"06.12.2019","63,7533","63,7294","63,8328","63,6037","0,04%"
"05.12.2019","63,7294","63,9429","63,9500","63,7195","-0,33%"
"04.12.2019","63,9429","64,1502","64,2392","63,8314","-0,32%"
"03.12.2019","64,1502","64,1748","64,2860","64,0723","-0,04%"
"02.12.2019","64,1748","64,3195","64,4819","64,1647","-0,22%"
"29.11.2019","64,3195","64,0735","64,3414","64,0200","0,38%"
"28.11.2019","64,0735","63,9615","64,1827","63,9615","0,18%"
"27.11.2019","63,9615","63,9516","64,1033","63,9067","0,02%"
"26.11.2019","63,9516","63,9381","64,1313","63,9139","0,02%"
"25.11.2019","63,9381","63,8623","64,0615","63,7324","0,12%"
"22.11.2019","63,8623","63,7094","63,8993","63,6189","0,24%"
"21.11.2019","63,7094","63,8991","63,8991","63,6612","-0,30%"
"20.11.2019","63,8991","63,8192","64,1045","63,7915","0,13%"
"19.11.2019","63,8192","63,8278","63,8813","63,6491","-0,01%"
"18.11.2019","63,8278","63,7628","63,9452","63,6951","0,10%"
"15.11.2019","63,7628","63,9828","63,9828","63,7105","-0,34%"
"14.11.2019","63,9828","64,3456","64,3500","63,9828","-0,56%"
"13.11.2019","64,3456","64,2272","64,4617","64,1344","0,18%"
"12.11.2019","64,2272","63,8874","64,2762","63,7840","0,53%"
"11.11.2019","63,8874","63,8046","63,9815","63,8000","0,13%"
"08.11.2019","63,8046","63,5284","63,9529","63,5200","0,43%"
"07.11.2019","63,5284","63,8725","63,9078","63,3811","-0,54%"
"06.11.2019","63,8725","63,4946","64,0269","63,4946","0,60%"
"05.11.2019","63,4946","63,5244","63,6775","63,1816","-0,05%"
"01.11.2019","63,5244","64,1328","64,1328","63,3764","-0,95%"
"31.10.2019","64,1328","63,8536","64,1799","63,7098","0,44%"
"30.10.2019","63,8536","63,9463","64,1397","63,7704","-0,14%"
"29.10.2019","63,9463","63,7520","64,0240","63,7520","0,30%"
"28.10.2019","63,7520","63,8639","63,9327","63,5714","-0,18%"
"25.10.2019","63,8639","64,0693","64,0703","63,6539","-0,32%"
"24.10.2019","64,0693","63,9333","64,1383","63,7570","0,21%"
"23.10.2019","63,9333","63,7282","63,9887","63,7021","0,32%"
"22.10.2019","63,7282","63,7151","63,7964","63,5624","0,02%"
"21.10.2019","63,7151","63,7651","63,8470","63,6337","-0,08%"
"18.10.2019","63,7651","64,1176","64,1176","63,7616","-0,55%"
"17.10.2019","64,1176","64,0773","64,2211","63,8570","0,06%"
"16.10.2019","64,0773","64,2749","64,4443","64,0619","-0,31%"
"15.10.2019","64,2749","64,2950","64,5010","64,1945","-0,03%"
"14.10.2019","64,2950","64,2224","64,4268","64,2050","0,11%"
"11.10.2019","64,2224","64,4582","64,4582","64,0243","-0,37%"
"10.10.2019","64,4582","64,8895","64,8895","64,4066","-0,66%"
"09.10.2019","64,8895","65,2004","65,2004","64,8222","-0,48%"
"08.10.2019","65,2004","64,9596","65,3465","64,7777","0,37%"
"07.10.2019","64,9596","64,6288","64,9738","64,6150","0,51%"
"04.10.2019","64,6288","65,1317","65,1317","64,5483","-0,77%"
"03.10.2019","65,1317","65,2033","65,3590","65,0340","-0,11%"
"02.10.2019","65,2033","65,2647","65,5575","65,0385","-0,09%"
"01.10.2019","65,2647","64,8569","65,4345","64,8569","0,63%"
"30.09.2019","64,8569","64,6841","65,0026","64,5845","0,27%"
"27.09.2019","64,6841","64,2124","64,7088","64,2100","0,73%"
"26.09.2019","64,2124","64,1506","64,3728","64,1151","0,10%"
"25.09.2019","64,1506","63,9902","64,4728","63,9850","0,25%"
"24.09.2019","63,9902","63,8469","64,0000","63,6178","0,22%"
"23.09.2019","63,8469","64,0200","64,0641","63,8093","-0,27%"
"20.09.2019","64,0200","63,9748","64,0818","63,7131","0,07%"
"19.09.2019","63,9748","64,1630","64,2978","63,8195","-0,29%"
"18.09.2019","64,1630","64,3652","64,5024","64,1294","-0,31%"
"17.09.2019","64,3652","64,0405","64,4628","63,9875","0,51%"
"16.09.2019","64,0405","64,3403","64,3403","63,6608","-0,47%"
"13.09.2019","64,3403","64,7151","64,7151","64,1535","-0,58%"
"12.09.2019","64,7151","65,4915","65,5000","64,6921","-1,19%"
"11.09.2019","65,4915","65,4233","65,6365","65,2928","0,10%"
"10.09.2019","65,4233","65,5344","65,5544","65,2531","-0,17%"
"09.09.2019","65,5344","65,7289","65,7306","65,3556","-0,30%"
"06.09.2019","65,7289","66,2335","66,2335","65,5992","-0,76%"
"05.09.2019","66,2335","66,2255","66,2721","65,8993","0,01%"
"04.09.2019","66,2255","66,7693","66,7693","66,0808","-0,81%"
"03.09.2019","66,7693","66,7973","67,1226","66,7571","-0,04%"
"02.09.2019","66,7973","66,7657","66,8400","66,5661","0,05%"
"30.08.2019","66,7657","66,5718","66,8122","66,3116","0,29%"
"29.08.2019","66,5718","66,7779","66,8906","66,4315","-0,31%"
"28.08.2019","66,7779","66,4352","66,9534","66,3505","0,52%"
"27.08.2019","66,4352","66,0593","66,6895","66,0593","0,57%"
"26.08.2019","66,0593","65,9990","66,1425","65,8549","0,09%"
"23.08.2019","65,9990","65,6081","66,1938","65,5353","0,60%"
"22.08.2019","65,6081","65,7540","65,9159","65,4560","-0,22%"
"21.08.2019","65,7540","66,5455","66,5650","65,6492","-1,19%"
"20.08.2019","66,5455","66,8987","67,0161","66,4327","-0,53%"
"19.08.2019","66,8987","66,5148","67,0208","66,2737","0,58%"
"16.08.2019","66,5148","66,0533","66,5583","65,8631","0,70%"
"15.08.2019","66,0533","66,0531","66,5719","65,6800","0,00%"
"14.08.2019","66,0531","64,9112","66,1049","64,9112","1,76%"
"13.08.2019","64,9112","65,4132","65,8733","64,7982","-0,77%"
"12.08.2019","65,4132","65,2816","65,6800","65,2665","0,20%"
"09.08.2019","65,2816","65,0435","65,5219","65,0435","0,37%"
"08.08.2019","65,0435","65,3237","65,4239","65,0346","-0,43%"
"07.08.2019","65,3237","65,2723","65,6488","64,9631","0,08%"
"06.08.2019","65,2723","65,5195","65,5297","65,0004","-0,38%"
"05.08.2019","65,5195","65,2713","65,5939","64,8628","0,38%"
"02.08.2019","65,2713","64,3518","65,4140","64,3518","1,43%"
"01.08.2019","64,3518","63,6284","64,3773","63,6250","1,14%"
"31.07.2019","63,6284","63,5067","63,7801","63,2563","0,19%"
"30.07.2019","63,5067","63,4357","63,7248","63,2490","0,11%"
"29.07.2019","63,4357","63,3663","63,6257","63,3663","0,11%"
"26.07.2019","63,3663","63,2336","63,4933","63,0703","0,21%"
"25.07.2019","63,2336","63,2936","63,2975","62,8660","-0,09%"
"24.07.2019","63,2936","63,1609","63,3060","63,0116","0,21%"
"23.07.2019","63,1609","63,0960","63,3266","63,0841","0,10%"
"22.07.2019","63,0960","63,0295","63,1268","62,9305","0,11%"
"19.07.2019","63,0295","62,8087","63,0550","62,8026","0,35%"
"18.07.2019","62,8087","62,9353","63,1322","62,7676","-0,20%"
"17.07.2019","62,9353","63,0391","63,0418","62,7246","-0,16%"
"16.07.2019","63,0391","62,6628","63,0780","62,6494","0,60%"
"15.07.2019","62,6628","62,9505","62,9897","62,5655","-0,46%"
